統計項目,資料期(民國年),統計值(美元),計量單位(美元),統計值(新台幣),計量單位(新台幣)
外銷訂單金額,09411,24607,百萬美元,8263,新臺幣億元
外銷訂單金額,09412,24590,百萬美元,8188,新臺幣億元
外銷訂單金額,09501,22108,百萬美元,7098,新臺幣億元
外銷訂單金額,09502,20262,百萬美元,6559,新臺幣億元
外銷訂單金額,09503,24939,百萬美元,8102,新臺幣億元
外銷訂單金額,09504,24680,百萬美元,7974,新臺幣億元
外銷訂單金額,09505,24599,百萬美元,7813,新臺幣億元
外銷訂單金額,09506,24915,百萬美元,8092,新臺幣億元
外銷訂單金額,09507,24068,百萬美元,7854,新臺幣億元
外銷訂單金額,09508,26212,百萬美元,8595,新臺幣億元
外銷訂單金額,09509,26630,百萬美元,8763,新臺幣億元
外銷訂單金額,09510,27293,百萬美元,9063,新臺幣億元
外銷訂單金額,09511,27216,百萬美元,8933,新臺幣億元
外銷訂單金額,09512,26388,百萬美元,8582,新臺幣億元
外銷訂單金額,09601,25925,百萬美元,8495,新臺幣億元
外銷訂單金額,09602,21918,百萬美元,7226,新臺幣億元
外銷訂單金額,09603,28032,百萬美元,9254,新臺幣億元
外銷訂單金額,09604,27462,百萬美元,9102,新臺幣億元
外銷訂單金額,09605,27528,百萬美元,9156,新臺幣億元
外銷訂單金額,09606,28698,百萬美元,9451,新臺幣億元
外銷訂單金額,09607,29723,百萬美元,9746,新臺幣億元
外銷訂單金額,09608,30488,百萬美元,10046,新臺幣億元
外銷訂單金額,09609,30919,百萬美元,10198,新臺幣億元
外銷訂單金額,09610,32200,百萬美元,10482,新臺幣億元
外銷訂單金額,09611,31892,百萬美元,10312,新臺幣億元
外銷訂單金額,09612,31023,百萬美元,10057,新臺幣億元
外銷訂單金額,09701,30306,百萬美元,9809,新臺幣億元
外銷訂單金額,09702,25880,百萬美元,8182,新臺幣億元
外銷訂單金額,09703,31617,百萬美元,9676,新臺幣億元
外銷訂單金額,09704,31769,百萬美元,9642,新臺幣億元
外銷訂單金額,09705,31511,百萬美元,9643,新臺幣億元
外銷訂單金額,09706,31362,百萬美元,9523,新臺幣億元
外銷訂單金額,09707,31365,百萬美元,9537,新臺幣億元
外銷訂單金額,09708,32130,百萬美元,10022,新臺幣億元
