統計項目,資料期(民國年),統計值(美元),計量單位(美元),統計值(新台幣),計量單位(新台幣)
外銷訂單金額,08007,6324,百萬美元,1707,新臺幣億元
外銷訂單金額,08008,6394,百萬美元,1709,新臺幣億元
外銷訂單金額,08009,6315,百萬美元,1678,新臺幣億元
外銷訂單金額,08010,6336,百萬美元,1673,新臺幣億元
外銷訂單金額,08011,6434,百萬美元,1671,新臺幣億元
外銷訂單金額,08012,6379,百萬美元,1643,新臺幣億元
外銷訂單金額,08101,6438,百萬美元,1620,新臺幣億元
外銷訂單金額,08102,5451,百萬美元,1365,新臺幣億元
外銷訂單金額,08103,6795,百萬美元,1726,新臺幣億元
外銷訂單金額,08104,7188,百萬美元,1819,新臺幣億元
外銷訂單金額,08105,6936,百萬美元,1735,新臺幣億元
外銷訂單金額,08106,6771,百萬美元,1677,新臺幣億元
外銷訂單金額,08107,6802,百萬美元,1685,新臺幣億元
外銷訂單金額,08108,6625,百萬美元,1664,新臺幣億元
外銷訂單金額,08109,6784,百萬美元,1711,新臺幣億元
外銷訂單金額,08110,7147,百萬美元,1806,新臺幣億元
外銷訂單金額,08111,7046,百萬美元,1792,新臺幣億元
外銷訂單金額,08112,6935,百萬美元,1765,新臺幣億元
外銷訂單金額,08201,6107,百萬美元,1554,新臺幣億元
外銷訂單金額,08202,6943,百萬美元,1795,新臺幣億元
外銷訂單金額,08203,7650,百萬美元,1992,新臺幣億元
外銷訂單金額,08204,7156,百萬美元,1860,新臺幣億元
外銷訂單金額,08205,7463,百萬美元,1939,新臺幣億元
外銷訂單金額,08206,6991,百萬美元,1836,新臺幣億元
外銷訂單金額,08207,7140,百萬美元,1904,新臺幣億元
外銷訂單金額,08208,7268,百萬美元,1959,新臺幣億元
外銷訂單金額,08209,6993,百萬美元,1883,新臺幣億元
外銷訂單金額,08210,7418,百萬美元,1993,新臺幣億元
外銷訂單金額,08211,7265,百萬美元,1953,新臺幣億元
外銷訂單金額,08212,7490,百萬美元,2005,新臺幣億元
外銷訂單金額,08301,7094,百萬美元,1878,新臺幣億元
外銷訂單金額,08302,6382,百萬美元,1688,新臺幣億元
外銷訂單金額,08303,7814,百萬美元,2063,新臺幣億元
外銷訂單金額,08304,7802,百萬美元,2059,新臺幣億元
外銷訂單金額,08305,7764,百萬美元,2081,新臺幣億元
外銷訂單金額,08306,7747,百萬美元,2093,新臺幣億元
外銷訂單金額,08307,7802,百萬美元,2079,新臺幣億元
外銷訂單金額,08308,7698,百萬美元,2033,新臺幣億元
外銷訂單金額,08309,8433,百萬美元,2210,新臺幣億元
外銷訂單金額,08310,8412,百萬美元,2198,新臺幣億元
外銷訂單金額,08311,8606,百萬美元,2254,新臺幣億元
外銷訂單金額,08312,9034,百萬美元,2382,新臺幣億元
外銷訂單金額,08401,7965,百萬美元,2095,新臺幣億元
外銷訂單金額,08402,7616,百萬美元,2005,新臺幣億元
